ID,Life Expectancy,Fertility Rate,Region,Population
CAN,80.66,1.67,North Am,337398
DEU,79.84,1.36,Euro,819028
DNK,78.6,1.84,Euro,552308
EGY,72.73,2.78,Middle Ea,797168
GBR,80.05,2,Euro,618018
IRN,72.49,1.7,Middle Ea,731378
IRQ,68.09,4.77,Middle Ea,310908
ISR,81.55,2.96,Middle Ea,74858
RUS,68.6,1.54,Euro,141850
USA,78.09,2.05,North Am,307007
