Country Name,2010,2011
Sri Lanka,239635000,251130000
Afghanistan,54200551,57620844
India,27356629958,34642529893
Pakistan,2022000000,1380000000
Bangladesh,884576866,921525445
Maldives,216468946,423530663
Bhutan,20230240,20081105
Nepal,87799642,94022157
